regret: 1	maxRegret: 329.06	weights: (0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100)
regret: 2	maxRegret: 329.18	weights: (0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100)
regret: 2	maxRegret: 329.18	weights: (0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100, 0.100)
regret: 2	maxRegret: 329.30	weights: (0.106, 0.099, 0.099, 0.099, 0.099, 0.099, 0.099, 0.099, 0.099, 0.099)
regret: 2	maxRegret: 329.30	weights: (0.106, 0.099, 0.099, 0.099, 0.099, 0.099, 0.099, 0.099, 0.099, 0.099)
regret: 2	maxRegret: 329.30	weights: (0.106, 0.099, 0.099, 0.099, 0.099, 0.099, 0.099, 0.099, 0.099, 0.099)
regret: 3	maxRegret: 329.42	weights: (0.106, 0.099, 0.099, 0.099, 0.099, 0.099, 0.099, 0.099, 0.099, 0.099)
regret: 3	maxRegret: 329.42	weights: (0.106, 0.099, 0.099, 0.099, 0.099, 0.099, 0.099, 0.099, 0.099, 0.099)
regret: 3	maxRegret: 329.42	weights: (0.106, 0.099, 0.099, 0.099, 0.099, 0.099, 0.099, 0.099, 0.099, 0.099)
regret: 3	maxRegret: 329.42	weights: (0.106, 0.099, 0.099, 0.099, 0.099, 0.099, 0.099, 0.099, 0.099, 0.099)
regret: 4	maxRegret: 329.54	weights: (0.106, 0.099, 0.099, 0.099, 0.099, 0.099, 0.099, 0.099, 0.099, 0.099)
regret: 4	maxRegret: 329.66	weights: (0.106, 0.099, 0.099, 0.099, 0.099, 0.099, 0.106, 0.099, 0.099, 0.099)
regret: 5	maxRegret: 329.78	weights: (0.106, 0.099, 0.099, 0.099, 0.099, 0.099, 0.106, 0.099, 0.099, 0.099)
regret: 5	maxRegret: 329.78	weights: (0.106, 0.099, 0.099, 0.099, 0.099, 0.099, 0.106, 0.099, 0.099, 0.099)
regret: 5	maxRegret: 329.78	weights: (0.106, 0.099, 0.099, 0.099, 0.099, 0.099, 0.106, 0.099, 0.099, 0.099)
regret: 4	maxRegret: 329.78	weights: (0.105, 0.098, 0.098, 0.098, 0.105, 0.098, 0.105, 0.098, 0.098, 0.098)
regret: 4	maxRegret: 329.78	weights: (0.105, 0.098, 0.098, 0.098, 0.105, 0.098, 0.105, 0.098, 0.098, 0.098)
regret: 4	maxRegret: 329.78	weights: (0.105, 0.098, 0.098, 0.098, 0.105, 0.098, 0.105, 0.098, 0.098, 0.098)
regret: 3	maxRegret: 329.78	weights: (0.104, 0.097, 0.097, 0.104, 0.104, 0.097, 0.104, 0.097, 0.097, 0.097)
regret: 3	maxRegret: 329.78	weights: (0.104, 0.097, 0.097, 0.104, 0.104, 0.097, 0.104, 0.097, 0.097, 0.097)
regret: 4	maxRegret: 329.90	weights: (0.104, 0.097, 0.097, 0.104, 0.104, 0.097, 0.104, 0.097, 0.097, 0.097)
regret: 5	maxRegret: 330.02	weights: (0.104, 0.097, 0.097, 0.104, 0.104, 0.097, 0.104, 0.097, 0.097, 0.097)
regret: 5	maxRegret: 330.02	weights: (0.104, 0.097, 0.097, 0.104, 0.104, 0.097, 0.104, 0.097, 0.097, 0.097)
regret: 5	maxRegret: 330.02	weights: (0.104, 0.097, 0.097, 0.104, 0.104, 0.097, 0.104, 0.097, 0.097, 0.097)
regret: 6	maxRegret: 330.14	weights: (0.104, 0.097, 0.097, 0.104, 0.104, 0.097, 0.104, 0.097, 0.097, 0.097)
regret: 6	maxRegret: 330.14	weights: (0.104, 0.097, 0.097, 0.104, 0.104, 0.097, 0.104, 0.097, 0.097, 0.097)
regret: 5	maxRegret: 330.14	weights: (0.103, 0.096, 0.104, 0.104, 0.104, 0.096, 0.103, 0.096, 0.096, 0.096)
regret: 5	maxRegret: 330.14	weights: (0.103, 0.096, 0.104, 0.104, 0.104, 0.096, 0.103, 0.096, 0.096, 0.096)
regret: 5	maxRegret: 330.14	weights: (0.103, 0.096, 0.104, 0.104, 0.104, 0.096, 0.103, 0.096, 0.096, 0.096)
regret: 5	maxRegret: 330.14	weights: (0.103, 0.096, 0.104, 0.104, 0.104, 0.096, 0.103, 0.096, 0.096, 0.096)
regret: 5	maxRegret: 330.26	weights: (0.103, 0.096, 0.110, 0.103, 0.103, 0.096, 0.103, 0.096, 0.096, 0.096)
regret: 6	maxRegret: 330.38	weights: (0.103, 0.096, 0.110, 0.103, 0.103, 0.096, 0.103, 0.096, 0.096, 0.096)
regret: 7	maxRegret: 330.50	weights: (0.103, 0.096, 0.110, 0.103, 0.103, 0.096, 0.103, 0.096, 0.096, 0.096)
regret: 7	maxRegret: 330.50	weights: (0.103, 0.096, 0.110, 0.103, 0.103, 0.096, 0.103, 0.096, 0.096, 0.096)
regret: 8	maxRegret: 330.62	weights: (0.103, 0.096, 0.110, 0.103, 0.103, 0.096, 0.103, 0.096, 0.096, 0.096)
regret: 8	maxRegret: 330.62	weights: (0.103, 0.096, 0.110, 0.103, 0.103, 0.096, 0.103, 0.096, 0.096, 0.096)
regret: 9	maxRegret: 330.74	weights: (0.103, 0.096, 0.110, 0.103, 0.103, 0.096, 0.103, 0.096, 0.096, 0.096)
regret: 9	maxRegret: 330.74	weights: (0.103, 0.096, 0.110, 0.103, 0.103, 0.096, 0.103, 0.096, 0.096, 0.096)
regret: 10	maxRegret: 330.87	weights: (0.103, 0.096, 0.110, 0.103, 0.103, 0.096, 0.103, 0.096, 0.096, 0.096)
regret: 10	maxRegret: 330.87	weights: (0.103, 0.096, 0.110, 0.103, 0.103, 0.096, 0.103, 0.096, 0.096, 0.096)
regret: 11	maxRegret: 330.99	weights: (0.103, 0.096, 0.110, 0.103, 0.103, 0.096, 0.103, 0.096, 0.096, 0.096)
regret: 12	maxRegret: 331.11	weights: (0.103, 0.096, 0.110, 0.103, 0.103, 0.096, 0.103, 0.096, 0.096, 0.096)
regret: 13	maxRegret: 331.23	weights: (0.103, 0.096, 0.110, 0.103, 0.103, 0.096, 0.103, 0.096, 0.096, 0.096)
regret: 13	maxRegret: 331.23	weights: (0.103, 0.096, 0.110, 0.103, 0.103, 0.096, 0.103, 0.096, 0.096, 0.096)
regret: 13	maxRegret: 331.35	weights: (0.102, 0.095, 0.117, 0.102, 0.102, 0.095, 0.102, 0.095, 0.095, 0.095)
regret: 13	maxRegret: 331.35	weights: (0.102, 0.095, 0.117, 0.102, 0.102, 0.095, 0.102, 0.095, 0.095, 0.095)
regret: 14	maxRegret: 331.47	weights: (0.102, 0.095, 0.117, 0.102, 0.102, 0.095, 0.102, 0.095, 0.095, 0.095)
regret: 14	maxRegret: 331.47	weights: (0.102, 0.095, 0.117, 0.102, 0.102, 0.095, 0.102, 0.095, 0.095, 0.095)
regret: 14	maxRegret: 331.59	weights: (0.108, 0.094, 0.116, 0.101, 0.101, 0.094, 0.101, 0.094, 0.094, 0.094)
regret: 14	maxRegret: 331.59	weights: (0.108, 0.094, 0.116, 0.101, 0.101, 0.094, 0.101, 0.094, 0.094, 0.094)
regret: 14	maxRegret: 331.59	weights: (0.108, 0.094, 0.116, 0.101, 0.101, 0.094, 0.101, 0.094, 0.094, 0.094)
regret: 13	maxRegret: 331.59	weights: (0.108, 0.094, 0.115, 0.101, 0.101, 0.101, 0.101, 0.094, 0.094, 0.094)
regret: 13	maxRegret: 331.59	weights: (0.108, 0.094, 0.115, 0.101, 0.101, 0.101, 0.101, 0.094, 0.094, 0.094)
regret: 13	maxRegret: 331.59	weights: (0.108, 0.094, 0.115, 0.101, 0.101, 0.101, 0.101, 0.094, 0.094, 0.094)
regret: 13	maxRegret: 331.59	weights: (0.108, 0.094, 0.115, 0.101, 0.101, 0.101, 0.101, 0.094, 0.094, 0.094)
regret: 14	maxRegret: 331.71	weights: (0.108, 0.094, 0.115, 0.101, 0.101, 0.101, 0.101, 0.094, 0.094, 0.094)
regret: 15	maxRegret: 331.83	weights: (0.108, 0.094, 0.115, 0.101, 0.101, 0.101, 0.101, 0.094, 0.094, 0.094)
regret: 16	maxRegret: 331.95	weights: (0.108, 0.094, 0.115, 0.101, 0.101, 0.101, 0.101, 0.094, 0.094, 0.094)
regret: 16	maxRegret: 332.07	weights: (0.114, 0.093, 0.114, 0.100, 0.100, 0.100, 0.100, 0.093, 0.093, 0.093)
regret: 17	maxRegret: 332.19	weights: (0.114, 0.093, 0.114, 0.100, 0.100, 0.100, 0.100, 0.093, 0.093, 0.093)
regret: 17	maxRegret: 332.31	weights: (0.113, 0.092, 0.113, 0.099, 0.099, 0.099, 0.099, 0.092, 0.092, 0.100)
regret: 18	maxRegret: 332.43	weights: (0.113, 0.092, 0.113, 0.099, 0.099, 0.099, 0.099, 0.092, 0.092, 0.100)
regret: 18	maxRegret: 332.43	weights: (0.113, 0.092, 0.113, 0.099, 0.099, 0.099, 0.099, 0.092, 0.092, 0.100)
regret: 18	maxRegret: 332.43	weights: (0.113, 0.092, 0.113, 0.099, 0.099, 0.099, 0.099, 0.092, 0.092, 0.100)
regret: 18	maxRegret: 332.55	weights: (0.120, 0.092, 0.112, 0.098, 0.098, 0.099, 0.098, 0.092, 0.092, 0.099)
regret: 18	maxRegret: 332.55	weights: (0.120, 0.092, 0.112, 0.098, 0.098, 0.099, 0.098, 0.092, 0.092, 0.099)
regret: 18	maxRegret: 332.55	weights: (0.120, 0.092, 0.112, 0.098, 0.098, 0.099, 0.098, 0.092, 0.092, 0.099)
regret: 18	maxRegret: 332.55	weights: (0.120, 0.092, 0.112, 0.098, 0.098, 0.099, 0.098, 0.092, 0.092, 0.099)
regret: 19	maxRegret: 332.67	weights: (0.120, 0.092, 0.112, 0.098, 0.098, 0.099, 0.098, 0.092, 0.092, 0.099)
regret: 20	maxRegret: 332.79	weights: (0.120, 0.092, 0.112, 0.098, 0.098, 0.099, 0.098, 0.092, 0.092, 0.099)
regret: 19	maxRegret: 332.79	weights: (0.119, 0.091, 0.112, 0.105, 0.098, 0.098, 0.098, 0.091, 0.091, 0.098)
regret: 20	maxRegret: 332.91	weights: (0.119, 0.091, 0.112, 0.105, 0.098, 0.098, 0.098, 0.091, 0.091, 0.098)
regret: 20	maxRegret: 332.91	weights: (0.119, 0.091, 0.112, 0.105, 0.098, 0.098, 0.098, 0.091, 0.091, 0.098)
regret: 21	maxRegret: 333.03	weights: (0.119, 0.091, 0.112, 0.105, 0.098, 0.098, 0.098, 0.091, 0.091, 0.098)
regret: 21	maxRegret: 333.03	weights: (0.119, 0.091, 0.112, 0.105, 0.098, 0.098, 0.098, 0.091, 0.091, 0.098)
regret: 22	maxRegret: 333.15	weights: (0.119, 0.091, 0.112, 0.105, 0.098, 0.098, 0.098, 0.091, 0.091, 0.098)
regret: 22	maxRegret: 333.15	weights: (0.119, 0.091, 0.112, 0.105, 0.098, 0.098, 0.098, 0.091, 0.091, 0.098)
